Unnamed: 0,brand,model,car_type,img_url,price,drive,hp,weight,torque,w_kg,year,country
54,Audi,A2 1.4 ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0032.jpg,22400.0,FF,74.0,920.0,126.0,60 to 242 W/Kg,2002.0,🇩🇪
55,Audi,A3 3.2 quattro ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0037.jpg,42490.0,4WD,246.0,1495.0,320.0,123 to 269 W/Kg,2003.0,🇩🇪
56,Audi,A4 Touring Car ,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_0052.jpg,1000000.0,FR,454.0,1080.0,500.0,313 to ? W/Kg,2004.0,🇩🇪
59,Audi,Le Mans quattro ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0054.jpg,1250000.0,4WD,601.0,1530.0,750.0,293 to ? W/Kg,2003.0,🇩🇪
62,Audi,R10 TDI ,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_0064.jpg,1980000.0,MR,650.0,925.0,1100.0,524 to 1010 W/Kg,2006.0,🇩🇪
64,Audi,R18 TDI (Audi Sport Team Joest) ,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_0061.jpg,2000000.0,MR,532.0,900.0,900.0,441 to 697 W/Kg,2011.0,🇩🇪
66,Audi,R18 TDI Prototype ,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_0062.jpg,2000000.0,MR,517.0,900.0,900.0,428 to 663 W/Kg,2011.0,🇩🇪
67,Audi,R8 (Audi PlayStation Team ORECA) ,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_0066.jpg,1900000.0,MR,580.0,950.0,784.0,455 to ? W/Kg,2005.0,🇩🇪
68,Audi,R8 4.2 FSI R tronic ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0046.jpg,166700.0,4WD,414.0,1560.0,430.0,198 to ? W/Kg,2007.0,🇩🇪
69,Audi,R8 5.2 FSI quattro ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0049.jpg,199400.0,4WD,518.0,1620.0,530.0,238 to 656 W/Kg,2009.0,🇩🇪
73,Audi,R8 LMS - Team Oreca ,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_0055.jpg,1575000.0,MR,560.0,1340.0,500.0,312 to 528 W/Kg,2010.0,🇩🇪
74,Audi,R8 LMS ultra ,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_0058.jpg,400000.0,MR,562.0,1250.0,500.0,335 to ? W/Kg,2012.0,🇩🇪
75,Audi,R8 LMS ultra (Audi Sport Team Phoenix) ,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_0059.jpg,400000.0,MR,562.0,1250.0,500.0,335 to 573 W/Kg,2012.0,🇩🇪
77,Audi,R8 Race Car ,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_0067.jpg,1925000.0,MR,759.0,900.0,700.0,629 to ? W/Kg,2001.0,🇩🇪
78,Audi,RS 4 ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0042.jpg,41380.0,4WD,380.0,1620.0,440.0,175 to ? W/Kg,2001.0,🇩🇪
79,Audi,RS 6 ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0044.jpg,117060.0,4WD,444.0,1840.0,560.0,180 to ? W/Kg,2002.0,🇩🇪
80,Audi,RS 6 Avant ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0043.jpg,117060.0,4WD,444.0,1880.0,560.0,176 to ? W/Kg,2002.0,🇩🇪
81,Audi,RS 6 Avant ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0047.jpg,166000.0,4WD,572.0,2025.0,650.0,211 to 524 W/Kg,2008.0,🇩🇪
82,Audi,S3 ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0034.jpg,41070.0,4WD,221.0,1420.0,280.0,116 to 266 W/Kg,2002.0,🇩🇪
83,Audi,S4 ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0041.jpg,55430.0,4WD,339.0,1660.0,410.0,152 to ? W/Kg,2003.0,🇩🇪
84,Audi,S4 ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0038.jpg,71220.0,4WD,261.0,1510.0,400.0,129 to 419 W/Kg,1998.0,🇩🇪
85,Audi,Sport quattro S1 Pikes Peak ,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_0063.jpg,1450000.0,4WD,590.0,1000.0,590.0,440 to 478 W/Kg,1987.0,🇩🇪
86,Audi,Sport quattro S1 Rally Car ,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_0050.jpg,1450000.0,4WD,455.0,1090.0,480.0,312 to ? W/Kg,1986.0,🇩🇪
88,Audi,TT Coupe 1.8T quattro ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0035.jpg,47700.0,4WD,222.0,1395.0,280.0,118 to 275 W/Kg,2000.0,🇩🇪
89,Audi,TT Coupe 3.2 quattro ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0036.jpg,57740.0,4WD,246.0,1520.0,320.0,121 to 268 W/Kg,2003.0,🇩🇪
90,Audi,TT Coupe 3.2 quattro ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0039.jpg,59000.0,4WD,246.0,1410.0,319.0,130 to 291 W/Kg,2007.0,🇩🇪
91,Audi,TTS Coupe ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0040.jpg,68000.0,4WD,268.0,1415.0,350.0,141 to 330 W/Kg,2009.0,🇩🇪
92,Audi,quattro ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0033.jpg,90360.0,4WD,200.0,1290.0,289.0,116 to 304 W/Kg,1982.0,🇩🇪
93,Autobacs,ARTA Garaiya ,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_0321.jpg,250000.0,MR,296.0,1125.0,490.0,196 to ? W/Kg,2003.0,🇯🇵
94,Autobacs,ARTA Garaiya ,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_0322.jpg,500000.0,MR,296.0,1175.0,392.0,188 to 442 W/Kg,2008.0,🇯🇵
95,Autobacs,Garaiya ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0320.jpg,65000.0,MR,201.0,800.0,206.0,188 to ? W/Kg,2002.0,🇯🇵
96,Autobacs,Garaiya GT300 Base Model ,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_0323.jpg,500000.0,MR,296.0,1175.0,392.0,188 to 442 W/Kg,2008.0,🇯🇵
97,Autobianchi,A112 Abarth ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0068.jpg,39430.0,FF,70.0,700.0,85.0,74 to 273 W/Kg,1979.0,🇮🇹
98,Ayrton Senna,DAP Racing Kart #17 ,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_1343.jpg,100000.0,MR,30.0,63.0,12.0,349 to 349 W/Kg,1980.0,🇧🇷
99,Ayrton Senna,LOTUS 97T ,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_1345.jpg,3000000.0,MR,999.0,540.0,667.0,1380 to 1450 W/Kg,1985.0,🇧🇷
101,BLITZ,DUNLOP ER34 SKYLINE ,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_0325.jpg,250000.0,FR,565.0,1252.0,680.0,336 to ? W/Kg,2007.0,🇯🇵
103,BMW,120d ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0073.jpg,33020.0,FR,161.0,1415.0,340.0,85 to ? W/Kg,2004.0,🇩🇪
104,BMW,120i ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0071.jpg,31940.0,FR,148.0,1335.0,200.0,82 to ? W/Kg,2004.0,🇩🇪
105,BMW,135i Coupé ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0078.jpg,64300.0,FR,302.0,1560.0,400.0,144 to 383 W/Kg,2007.0,🇩🇪
106,BMW,2002 Turbo ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0072.jpg,56800.0,FR,170.0,1080.0,240.0,118 to ? W/Kg,1973.0,🇩🇪
107,BMW,320i Touring Car ,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_0077.jpg,200000.0,FR,256.0,1140.0,225.0,168 to 318 W/Kg,2003.0,🇩🇪
108,BMW,330i ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0075.jpg,48040.0,FR,254.0,1525.0,300.0,125 to 266 W/Kg,2005.0,🇩🇪
109,BMW,507 ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0070.jpg,85000.0,FR,148.0,1240.0,235.0,89 to 287 W/Kg,1957.0,🇩🇪
111,BMW,E92 M3 (BMW Motorsport) ,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_0090.jpg,350000.0,FR,500.0,1245.0,500.0,300 to ? W/Kg,2010.0,🇩🇪
112,BMW,M Coupe ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0076.jpg,78900.0,FR,316.0,1465.0,350.0,161 to ? W/Kg,1998.0,🇩🇪
113,BMW,M3 ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0081.jpg,74560.0,FR,338.0,1570.0,365.0,161 to 303 W/Kg,2004.0,🇩🇪
114,BMW,M3 CSL ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0084.jpg,113610.0,FR,355.0,1385.0,370.0,191 to 340 W/Kg,2003.0,🇩🇪
115,BMW,M3 Coupé ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0083.jpg,92400.0,FR,414.0,1655.0,400.0,187 to 346 W/Kg,2007.0,🇩🇪
117,BMW,M3 GT (BMW Motorsport) ,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_0091.jpg,350000.0,FR,500.0,1245.0,500.0,300 to ? W/Kg,2011.0,🇩🇪
118,BMW,M3 GT2 Base Model ,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_1207.jpg,350000.0,FR,500.0,1245.0,500.0,300 to ? W/Kg,2011.0,🇩🇪
119,BMW,M3 GTR ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0086.jpg,341020.0,FR,375.0,1350.0,390.0,207 to ? W/Kg,2003.0,🇩🇪
120,BMW,M3 GTR Race Car ,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_0089.jpg,1000000.0,FR,444.0,1120.0,480.0,296 to ? W/Kg,2001.0,🇩🇪
123,BMW,M5 ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0088.jpg,116650.0,FR,500.0,1715.0,520.0,217 to ? W/Kg,2005.0,🇩🇪
124,BMW,M5 ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0087.jpg,137000.0,FR,500.0,1855.0,520.0,201 to 416 W/Kg,2008.0,🇩🇪
126,BMW,V12 LMR ,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_0094.jpg,1900000.0,MR,572.0,900.0,670.0,474 to 808 W/Kg,1999.0,🇩🇪
128,BMW,Z4 ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0074.jpg,38600.0,FR,228.0,1365.0,300.0,125 to ? W/Kg,2003.0,🇩🇪
129,BMW,Z4 GT3 ,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_0092.jpg,350000.0,FR,508.0,1190.0,515.0,318 to ? W/Kg,2011.0,🇩🇪
130,BMW,Z4 M Coupe ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0080.jpg,69500.0,FR,338.0,1495.0,365.0,169 to ? W/Kg,2008.0,🇩🇪
131,BMW,Z8 ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0082.jpg,166000.0,FR,394.0,1610.0,500.0,183 to ? W/Kg,2001.0,🇩🇪
133,Bentley,Speed 8 ,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_0069.jpg,1900000.0,MR,623.0,900.0,760.0,517 to ? W/Kg,2003.0,🇬🇧
134,Bugatti,Veyron 16.4 ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0095.jpg,2000000.0,4WD,956.0,1888.0,1254.0,378 to ? W/Kg,2009.0,🇫🇷
135,Bugatti,Veyron 16.4 ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0096.jpg,2000000.0,4WD,956.0,1888.0,1254.0,378 to 703 W/Kg,2013.0,🇫🇷
136,Buick,GNX ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_1019.jpg,31080.0,FR,276.0,1600.0,488.0,129 to ? W/Kg,1987.0,🇺🇸
139,Cadillac,CTS-V Coupe ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_1021.jpg,90000.0,FR,556.0,1940.0,746.0,214 to ? W/Kg,2011.0,🇺🇸
140,Callaway,C12 ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_1023.jpg,175880.0,FR,433.0,1480.0,520.0,218 to ? W/Kg,2003.0,🇺🇸
141,Caterham,Seven Fireblade ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0097.jpg,60000.0,FR,138.0,369.0,122.0,279 to 552 W/Kg,2002.0,🇬🇧
142,Chaparral,2D ,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_1024.jpg,3750000.0,MR,420.0,924.0,515.0,339 to ? W/Kg,1967.0,🇺🇸
160,Chevrolet,Camaro IROC-Z Concept ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_1028.jpg,45000.0,FR,230.0,1468.0,447.0,116 to ? W/Kg,1988.0,🇺🇸
162,Chevrolet,Camaro SS ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_1035.jpg,22150.0,FR,319.0,1560.0,350.0,153 to ? W/Kg,2000.0,🇺🇸
163,Chevrolet,Camaro SS ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_1043.jpg,35000.0,FR,426.0,1755.0,569.0,181 to 422 W/Kg,2010.0,🇺🇸
164,Chevrolet,Camaro SS ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_1031.jpg,60000.0,FR,300.0,1401.0,515.0,160 to ? W/Kg,1969.0,🇺🇸
166,Chevrolet,Camaro Z28 ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_1032.jpg,65000.0,FR,290.0,1415.0,393.0,153 to ? W/Kg,1969.0,🇺🇸
167,Chevrolet,Camaro Z28 Coupe ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_1030.jpg,24110.0,FR,285.0,1561.0,440.0,136 to ? W/Kg,1997.0,🇺🇸
169,Chevrolet,Chevelle SS 454 ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_1042.jpg,70000.0,FR,450.0,1762.0,677.0,190 to ? W/Kg,1970.0,🇺🇸
170,Chevrolet,Corvette C5-R (C5) ,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_1054.jpg,1450000.0,FR,620.0,1139.0,670.0,406 to ? W/Kg,2000.0,🇺🇸
172,Chevrolet,Corvette Convertible (C1 ) ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_1026.jpg,100000.0,FR,150.0,1309.0,302.0,86 to ? W/Kg,1954.0,🇺🇸
173,Chevrolet,Corvette Coupe (C2) ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_1029.jpg,84890.0,FR,249.0,1370.0,474.0,136 to ? W/Kg,1963.0,🇺🇸
175,Chevrolet,Corvette GRAND SPORT (C4) ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_1037.jpg,45900.0,FR,330.0,1496.0,461.0,164 to ? W/Kg,1996.0,🇺🇸
176,Chevrolet,Corvette StingRay Racer Concept ,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_1039.jpg,500000.0,FR,305.0,1150.0,400.0,197 to ? W/Kg,1959.0,🇺🇸
177,Chevrolet,Corvette Stingray (C7) ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_1046.jpg,51000.0,FR,440.0,1500.0,623.0,219 to 558 W/Kg,2014.0,🇺🇸
179,Chevrolet,Corvette Stingray Convertible (C3) ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_1034.jpg,50000.0,FR,300.0,1552.0,515.0,144 to ? W/Kg,1969.0,🇺🇸
180,Chevrolet,Corvette Stingray Gran Turismo Concept ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_1237.jpg,65000.0,FR,454.0,1500.0,623.0,225 to 555 W/Kg,2013.0,🇺🇸
181,Chevrolet,Corvette Stingray L46 350 (C3) ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_1036.jpg,71500.0,FR,350.0,1490.0,515.0,175 to ? W/Kg,1969.0,🇺🇸
183,Chevrolet,Corvette Z06 (C5) ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_1044.jpg,53570.0,FR,380.0,1409.0,485.0,201 to ? W/Kg,2000.0,🇺🇸
184,Chevrolet,Corvette Z06 (C5) ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_1045.jpg,54200.0,FR,405.0,1414.0,542.0,214 to ? W/Kg,2004.0,🇺🇸
185,Chevrolet,Corvette Z06 (C6) ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_1049.jpg,94500.0,FR,504.0,1421.0,636.0,265 to ? W/Kg,2006.0,🇺🇸
187,Chevrolet,Corvette ZR-1 (C4) ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_1041.jpg,82000.0,FR,375.0,1600.0,503.0,174 to ? W/Kg,1990.0,🇺🇸
188,Chevrolet,Corvette ZR1 (C6) ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_1050.jpg,184800.0,FR,638.0,1508.0,818.0,316 to 649 W/Kg,2009.0,🇺🇸
190,Chevrolet,El Camino SS 396 ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_1033.jpg,30000.0,FR,325.0,1468.0,555.0,166 to ? W/Kg,1967.0,🇺🇸
191,Chevrolet,Nova SS ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_1038.jpg,65000.0,FR,375.0,1590.0,563.0,175 to ? W/Kg,1970.0,🇺🇸
192,Chevrolet,SSR ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_1027.jpg,44560.0,FR,290.0,2248.0,440.0,96 to ? W/Kg,2003.0,🇺🇸
193,Chevrolet,Silverado SST ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_1040.jpg,95000.0,FR,480.0,2268.0,644.0,158 to ? W/Kg,2002.0,🇺🇸
194,Chrysler,300C ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_1065.jpg,34780.0,FR,340.0,1878.0,528.0,135 to ? W/Kg,2005.0,🇺🇸
195,Chrysler,Crossfire ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_1063.jpg,35670.0,FR,215.0,1361.0,310.0,118 to ? W/Kg,2004.0,🇺🇸
196,Chrysler,PT Cruiser ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_1062.jpg,16390.0,FF,150.0,1270.0,226.0,88 to ? W/Kg,2000.0,🇺🇸
197,Chrysler,Prowler ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_1064.jpg,47430.0,FR,249.0,1287.0,346.0,145 to 316 W/Kg,2002.0,🇺🇸
198,Citroën,2CV Type A ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0098.jpg,21000.0,FF,12.0,495.0,30.0,18 to 101 W/Kg,1954.0,🇫🇷
199,Citroën,C3 1.6 ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0099.jpg,18130.0,FF,108.0,1063.0,150.0,76 to ? W/Kg,2002.0,🇫🇷
200,Citroën,C4 Coupe 2.0VTS ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0102.jpg,31900.0,FF,177.0,1330.0,206.0,99 to ? W/Kg,2005.0,🇫🇷
201,Citroën,C4 WRC ,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_0105.jpg,850000.0,4WD,315.0,1230.0,568.0,191 to 327 W/Kg,2008.0,🇫🇷
202,Citroën,C5 V6 Exclusive ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0103.jpg,42830.0,FF,207.0,1540.0,294.0,100 to ? W/Kg,2003.0,🇫🇷
206,Citroën,Xantia 3.0i V6 Exclusive ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0101.jpg,30370.0,FF,194.0,1496.0,267.0,97 to ? W/Kg,2000.0,🇫🇷
